CREATEDATE	SITE	PA_INS (HPA)	ST	PA_QNH (HPA)	ST	PA_QFE_AD (HPA)	ST	PA_QFF (HPA)	ST	TL	ST	ALT (FT)	ST	PA_QFESYNOP (HPA)	ST	PA_QFE_TDZ24 (HPA)	ST	PA_QFE_TDZ06 (HPA)	ST	PA_QFE_TDZ31 (HPA)	ST	PA_QFE_TDZ13 (HPA)	ST	QFESYNOP3H (HPA)	ST	QFESYNOPT (HPA)	ST
2022-01-22 00:00:00	AD	977,60	 	1020,95	 	976,25	 	1023,33	 	60	 	 	 	977,60	 	979,09	 	977,43	 	976,32	 	979,00	 	-3,30	 	7	 
2022-01-22 00:01:00	AD	977,50	 	1020,85	 	976,15	 	1023,22	 	60	 	 	 	977,50	 	978,99	 	977,33	 	976,22	 	978,90	 	-3,30	 	7	 
2022-01-22 00:02:00	AD	977,50	 	1020,85	 	976,15	 	1023,22	 	60	 	 	 	977,50	 	978,99	 	977,33	 	976,22	 	978,90	 	-3,30	 	7	 
2022-01-22 00:03:00	AD	977,50	 	1020,85	 	976,15	 	1023,22	 	60	 	 	 	977,50	 	978,99	 	977,33	 	976,22	 	978,90	 	-3,50	 	7	 
2022-01-22 00:04:00	AD	977,40	 	1020,74	 	976,05	 	1023,10	 	60	 	 	 	977,40	 	978,89	 	977,23	 	976,12	 	978,80	 	-3,50	 	7	 
2022-01-22 00:05:00	AD	977,30	 	1020,64	 	975,95	 	1023,00	 	60	 	 	 	977,30	 	978,79	 	977,13	 	976,02	 	978,70	 	-3,50	 	7	 
2022-01-22 00:06:00	AD	977,40	 	1020,74	 	976,05	 	1023,10	 	60	 	 	 	977,40	 	978,89	 	977,23	 	976,12	 	978,80	 	-3,50	 	7	 
2022-01-22 00:07:00	AD	977,40	 	1020,74	 	976,05	 	1023,10	 	60	 	 	 	977,40	 	978,89	 	977,23	 	976,12	 	978,80	 	-3,50	 	7	 
2022-01-22 00:08:00	AD	977,40	 	1020,74	 	976,05	 	1023,10	 	60	 	 	 	977,40	 	978,89	 	977,23	 	976,12	 	978,80	 	-3,50	 	7	 
2022-01-22 00:09:00	AD	977,40	 	1020,74	 	976,05	 	1023,08	 	60	 	 	 	977,40	 	978,89	 	977,23	 	976,12	 	978,80	 	-3,50	 	7	 
2022-01-22 00:10:00	AD	977,40	 	1020,74	 	976,05	 	1023,08	 	60	 	 	 	977,40	 	978,89	 	977,23	 	976,12	 	978,80	 	-3,50	 	7	 
2022-01-22 00:11:00	AD	977,40	 	1020,74	 	976,05	 	1023,08	 	60	 	 	 	977,40	 	978,89	 	977,23	 	976,12	 	978,80	 	-3,50	 	7	 
2022-01-22 00:12:00	AD	977,40	 	1020,74	 	976,05	 	1023,08	 	60	 	 	 	977,40	 	978,89	 	977,23	 	976,12	 	978,80	 	-3,50	 	7	 
