CREATEDATE	SITE	PA_INS (HPA)	ST	PA_QNH (HPA)	ST	PA_QFE_AD (HPA)	ST	PA_QFF (HPA)	ST	TL	ST	ALT (FT)	ST	PA_QFESYNOP (HPA)	ST	PA_QFE_TDZ24 (HPA)	ST	PA_QFE_TDZ06 (HPA)	ST	PA_QFE_TDZ31 (HPA)	ST	PA_QFE_TDZ13 (HPA)	ST	QFESYNOP3H (HPA)	ST	QFESYNOPT (HPA)	ST
2022-01-01 00:00:00	AD	977,80	 	1021,16	 	976,50	 	1021,83	 	60	 	 	 	977,80	 	979,24	 	977,63	 	976,57	 	979,15	 	1,90	 	1	 
2022-01-01 00:01:00	AD	977,80	 	1021,16	 	976,50	 	1021,83	 	60	 	 	 	977,80	 	979,24	 	977,63	 	976,57	 	979,15	 	1,90	 	1	 
2022-01-01 00:02:00	AD	977,80	 	1021,16	 	976,50	 	1021,83	 	60	 	 	 	977,80	 	979,24	 	977,63	 	976,57	 	979,15	 	1,70	 	1	 
2022-01-01 00:03:00	AD	977,80	 	1021,16	 	976,50	 	1021,83	 	60	 	 	 	977,80	 	979,24	 	977,63	 	976,57	 	979,15	 	1,70	 	1	 
2022-01-01 00:04:00	AD	977,80	 	1021,16	 	976,50	 	1021,83	 	60	 	 	 	977,80	 	979,24	 	977,63	 	976,57	 	979,15	 	1,70	 	1	 
2022-01-01 00:05:00	AD	977,90	 	1021,26	 	976,60	 	1021,95	 	60	 	 	 	977,90	 	979,34	 	977,73	 	976,67	 	979,25	 	1,70	 	1	 
2022-01-01 00:06:00	AD	977,80	 	1021,16	 	976,50	 	1021,83	 	60	 	 	 	977,80	 	979,24	 	977,63	 	976,57	 	979,15	 	1,70	 	1	 
2022-01-01 00:07:00	AD	977,90	 	1021,26	 	976,60	 	1021,94	 	60	 	 	 	977,90	 	979,34	 	977,73	 	976,67	 	979,25	 	1,70	 	1	 
2022-01-01 00:08:00	AD	977,90	 	1021,26	 	976,60	 	1021,92	 	60	 	 	 	977,90	 	979,34	 	977,73	 	976,67	 	979,25	 	1,70	 	1	 
2022-01-01 00:09:00	AD	977,90	 	1021,26	 	976,60	 	1021,92	 	60	 	 	 	977,90	 	979,34	 	977,73	 	976,67	 	979,25	 	1,70	 	1	 
2022-01-01 00:10:00	AD	977,90	 	1021,26	 	976,60	 	1021,90	 	60	 	 	 	977,90	 	979,34	 	977,73	 	976,67	 	979,25	 	1,70	 	1	 
2022-01-01 00:11:00	AD	977,90	 	1021,26	 	976,60	 	1021,90	 	60	 	 	 	977,90	 	979,34	 	977,73	 	976,67	 	979,25	 	1,70	 	1	 
2022-01-01 00:12:00	AD	977,90	 	1021,26	 	976,60	 	1021,89	 	60	 	 	 	977,90	 	979,34	 	977,73	 	976,67	 	979,25	 	1,70	 	1	 
2022-01-01 00:13:00	AD	977,90	 	1021,26	 	976,60	 	1021,89	 	60	 	 	 	977,90	 	979,34	 	977,73	 	976,67	 	979,25	 	1,70	 	1	 
2022-01-01 00:14:00	AD	977,90	 	1021,26	 	976,60	 	1021,89	 	60	 	 	 	977,90	 	979,34	 	977,73	 	976,67	 	979,25	 	1,70	 	1	 
2022-01-01 00:15:00	AD	977,90	 	1021,26	 	976,60	 	1021,87	 	60	 	 	 	977,90	 	979,34	 	977,73	 	976,67	 	979,25	 	1,70	 	1	 
2022-01-01 00:16:00	AD	977,90	 	1021,26	 	976,60	 	1021,87	 	60	 	 	 	977,90	 	979,34	 	977,73	 	976,67	 	979,25	 	1,70	 	1	 
2022-01-01 00:17:00	AD	978,00	 	1021,36	 	976,70	 	1021,98	 	60	 	 	 	978,00	 	979,44	 	977,83	 	976,77	 	979,35	 	1,70	 	1	 
2022-01-01 00:18:00	AD	977,90	 	1021,26	 	976,60	 	1021,87	 	60	 	 	 	977,90	 	979,34	 	977,73	 	976,67	 	979,25	 	1,70	 	1	 
2022-01-01 00:19:00	AD	977,90	 	1021,26	 	976,60	 	1021,87	 	60	 	 	 	977,90	 	979,34	 	977,73	 	976,67	 	979,25	 	1,70	 	1	 
2022-01-01 00:20:00	AD	977,90	 	1021,26	 	976,60	 	1021,87	 	60	 	 	 	977,90	 	979,34	 	977,73	 	976,67	 	979,25	 	1,70	 	1	 
