CREATEDATE	SITE	TH_TT	ST	TH_UU	ST	TH_TD	ST	TAMAX_06-18	ST	TAMIN_18-06	ST
2022-01-15 00:00:03	MET_GARDEN	2,10	 	91,00	 	0,79	 	6,20	 	2,00	 
2022-01-15 00:01:00	MET_GARDEN	2,10	 	91,00	 	0,79	 	6,20	 	2,00	 
2022-01-15 00:02:00	MET_GARDEN	2,10	 	91,00	 	0,79	 	6,20	 	2,00	 
2022-01-15 00:03:00	MET_GARDEN	2,10	 	91,00	 	0,79	 	6,20	 	2,00	 
2022-01-15 00:04:00	MET_GARDEN	2,10	 	91,00	 	0,79	 	6,20	 	2,00	 
2022-01-15 00:05:00	MET_GARDEN	2,20	 	91,00	 	0,88	 	6,20	 	2,00	 
2022-01-15 00:06:00	MET_GARDEN	2,20	 	90,00	 	0,73	 	6,20	 	2,00	 
2022-01-15 00:07:00	MET_GARDEN	2,20	 	90,00	 	0,73	 	6,20	 	2,00	 
2022-01-15 00:08:00	MET_GARDEN	2,20	 	90,00	 	0,73	 	6,20	 	2,00	 
2022-01-15 00:09:00	MET_GARDEN	2,20	 	90,00	 	0,73	 	6,20	 	2,00	 
2022-01-15 00:10:00	MET_GARDEN	2,20	 	90,00	 	0,73	 	6,20	 	2,00	 
2022-01-15 00:11:00	MET_GARDEN	2,20	 	90,00	 	0,73	 	6,20	 	2,00	 
2022-01-15 00:12:00	MET_GARDEN	2,20	 	90,00	 	0,73	 	6,20	 	2,00	 
2022-01-15 00:13:00	MET_GARDEN	2,20	 	89,00	 	0,58	 	6,20	 	2,00	 
2022-01-15 00:14:00	MET_GARDEN	2,20	 	89,00	 	0,58	 	6,20	 	2,00	 
2022-01-15 00:15:00	MET_GARDEN	2,20	 	89,00	 	0,58	 	6,20	 	2,00	 
2022-01-15 00:16:00	MET_GARDEN	2,20	 	89,00	 	0,58	 	6,20	 	2,00	 
2022-01-15 00:17:00	MET_GARDEN	2,20	 	89,00	 	0,58	 	6,20	 	2,00	 
2022-01-15 00:18:00	MET_GARDEN	2,20	 	89,00	 	0,58	 	6,20	 	2,00	 
2022-01-15 00:19:00	MET_GARDEN	2,20	 	89,00	 	0,58	 	6,20	 	2,00	 
2022-01-15 00:20:00	MET_GARDEN	2,20	 	89,00	 	0,58	 	6,20	 	2,00	 
2022-01-15 00:21:00	MET_GARDEN	2,20	 	89,00	 	0,58	 	6,20	 	2,00	 
2022-01-15 00:22:00	MET_GARDEN	2,30	 	89,00	 	0,68	 	6,20	 	2,00	 
2022-01-15 00:23:00	MET_GARDEN	2,30	 	88,00	 	0,52	 	6,20	 	2,00	 
2022-01-15 00:24:00	MET_GARDEN	2,30	 	88,00	 	0,52	 	6,20	 	2,00	 
2022-01-15 00:25:00	MET_GARDEN	2,20	 	88,00	 	0,42	 	6,20	 	2,00	 
2022-01-15 00:26:00	MET_GARDEN	2,20	 	88,00	 	0,42	 	6,20	 	2,00	 
2022-01-15 00:27:00	MET_GARDEN	2,10	 	89,00	 	0,48	 	6,20	 	2,00	 
2022-01-15 00:28:00	MET_GARDEN	2,20	 	89,00	 	0,58	 	6,20	 	2,00	 
2022-01-15 00:29:00	MET_GARDEN	2,10	 	89,00	 	0,48	 	6,20	 	2,00	 
2022-01-15 00:30:00	MET_GARDEN	2,10	 	89,00	 	0,48	 	6,20	 	2,00	 
2022-01-15 00:31:00	MET_GARDEN	2,10	 	89,00	 	0,48	 	6,20	 	2,00	 
2022-01-15 00:32:00	MET_GARDEN	2,10	 	89,00	 	0,48	 	6,20	 	2,00	 
2022-01-15 00:33:00	MET_GARDEN	2,10	 	89,00	 	0,48	 	6,20	 	2,00	 
2022-01-15 00:34:00	MET_GARDEN	2,00	 	89,00	 	0,38	 	6,20	 	2,00	 
2022-01-15 00:35:00	MET_GARDEN	2,00	 	89,00	 	0,38	 	6,20	 	2,00	 
2022-01-15 00:36:00	MET_GARDEN	2,10	 	89,00	 	0,48	 	6,20	 	2,00	 
