CREATEDATE	SITE	TH_TT	ST	TH_UU	ST	TH_TD	ST	TAMAX_06-18	ST	TAMIN_18-06	ST
2022-01-30 00:00:03	MET_GARDEN	6,30	 	75,00	 	2,21	 	6,30	 	3,90	 
2022-01-30 00:01:00	MET_GARDEN	6,30	 	74,00	 	2,02	 	6,30	 	3,90	 
2022-01-30 00:02:00	MET_GARDEN	6,30	 	74,00	 	2,02	 	6,30	 	3,90	 
2022-01-30 00:03:00	MET_GARDEN	6,20	 	74,00	 	1,92	 	6,30	 	3,90	 
2022-01-30 00:04:00	MET_GARDEN	6,20	 	74,00	 	1,92	 	6,30	 	3,90	 
2022-01-30 00:05:00	MET_GARDEN	6,20	 	74,00	 	1,92	 	6,30	 	3,90	 
2022-01-30 00:06:00	MET_GARDEN	6,30	 	73,00	 	1,83	 	6,30	 	3,90	 
2022-01-30 00:07:00	MET_GARDEN	6,30	 	73,00	 	1,83	 	6,30	 	3,90	 
2022-01-30 00:08:00	MET_GARDEN	6,30	 	73,00	 	1,83	 	6,30	 	3,90	 
2022-01-30 00:09:00	MET_GARDEN	6,20	 	73,00	 	1,73	 	6,30	 	3,90	 
2022-01-30 00:10:00	MET_GARDEN	6,00	 	74,00	 	1,73	 	6,30	 	3,90	 
2022-01-30 00:11:00	MET_GARDEN	6,10	 	73,00	 	1,64	 	6,30	 	3,90	 
2022-01-30 00:12:00	MET_GARDEN	6,30	 	72,00	 	1,64	 	6,30	 	3,90	 
2022-01-30 00:13:00	MET_GARDEN	6,10	 	73,00	 	1,64	 	6,30	 	3,90	 
2022-01-30 00:14:00	MET_GARDEN	6,10	 	73,00	 	1,64	 	6,30	 	3,90	 
2022-01-30 00:15:00	MET_GARDEN	6,10	 	73,00	 	1,64	 	6,30	 	3,90	 
2022-01-30 00:16:00	MET_GARDEN	6,30	 	72,00	 	1,64	 	6,30	 	3,90	 
2022-01-30 00:17:00	MET_GARDEN	6,30	 	71,00	 	1,44	 	6,30	 	3,90	 
2022-01-30 00:18:00	MET_GARDEN	6,40	 	70,00	 	1,34	 	6,30	 	3,90	 
2022-01-30 00:19:00	MET_GARDEN	6,40	 	69,00	 	1,14	 	6,40	 	3,90	 
2022-01-30 00:20:00	MET_GARDEN	6,40	 	69,00	 	1,14	 	6,40	 	3,90	 
2022-01-30 00:21:00	MET_GARDEN	6,50	 	68,00	 	1,03	 	6,40	 	3,90	 
2022-01-30 00:22:00	MET_GARDEN	6,50	 	68,00	 	1,03	 	6,50	 	3,90	 
2022-01-30 00:23:00	MET_GARDEN	6,30	 	68,00	 	0,84	 	6,50	 	3,90	 
2022-01-30 00:24:00	MET_GARDEN	6,50	 	67,00	 	0,83	 	6,50	 	3,90	 
2022-01-30 00:25:00	MET_GARDEN	6,60	 	66,00	 	0,72	 	6,50	 	3,90	 
2022-01-30 00:26:00	MET_GARDEN	6,50	 	66,00	 	0,62	 	6,60	 	3,90	 
2022-01-30 00:27:00	MET_GARDEN	6,60	 	64,00	 	0,29	 	6,60	 	3,90	 
2022-01-30 00:28:00	MET_GARDEN	6,70	 	64,00	 	0,39	 	6,60	 	3,90	 
2022-01-30 00:29:00	MET_GARDEN	6,60	 	64,00	 	0,29	 	6,70	 	3,90	 
2022-01-30 00:30:00	MET_GARDEN	6,50	 	64,00	 	0,20	 	6,70	 	3,90	 
2022-01-30 00:31:00	MET_GARDEN	6,50	 	65,00	 	0,41	 	6,70	 	3,90	 
2022-01-30 00:32:00	MET_GARDEN	6,30	 	65,00	 	0,22	 	6,70	 	3,90	 
2022-01-30 00:33:00	MET_GARDEN	6,20	 	66,00	 	0,33	 	6,70	 	3,90	 
2022-01-30 00:34:00	MET_GARDEN	6,40	 	65,00	 	0,31	 	6,70	 	3,90	 
2022-01-30 00:35:00	MET_GARDEN	6,40	 	64,00	 	0,10	 	6,70	 	3,90	 
2022-01-30 00:36:00	MET_GARDEN	6,30	 	64,00	 	0,00	 	6,70	 	3,90	 
2022-01-30 00:37:00	MET_GARDEN	6,40	 	63,00	 	-0,12	 	6,70	 	3,90	 
2022-01-30 00:38:00	MET_GARDEN	6,40	 	62,00	 	-0,34	 	6,70	 	3,90	 
2022-01-30 00:39:00	MET_GARDEN	6,40	 	62,00	 	-0,34	 	6,70	 	3,90	 
