		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
13.07.21	8:00	18.7	18.7	17.6	66	12.2	1.7	E	0.87	6.1	ESE	18.7	18.4	18.4	---	1009.8	0.00	0.0	---	---	---	---	---	---	0.000	0.007	23.1	53	13.0	23.0	9.71	1.1707	0.00	701	1	100.0	30
13.07.21	8:30	19.3	19.3	18.7	66	12.8	2.6	ENE	1.30	7.0	NE	19.3	19.2	19.2	---	1009.9	0.00	0.0	---	---	---	---	---	---	0.000	0.020	23.1	53	13.0	23.0	9.71	1.1708	0.00	696	1	100.0	30
13.07.21	9:00	19.8	19.9	19.3	64	12.8	3.5	NE	1.74	8.7	ENE	19.8	19.7	19.7	---	1009.7	0.00	0.0	---	---	---	---	---	---	0.000	0.031	23.1	52	12.7	23.0	9.58	1.1707	0.00	700	1	100.0	30
13.07.21	9:30	20.4	20.5	19.8	64	13.4	3.5	ENE	1.74	9.6	ENE	20.4	20.4	20.4	---	1009.6	0.00	0.0	---	---	---	---	---	---	0.000	0.044	23.1	56	13.9	23.2	10.28	1.1692	0.00	672	1	98.2	30
13.07.21	10:00	21.3	21.3	20.4	63	13.9	3.5	NE	1.74	8.7	ENE	21.3	21.1	21.1	---	1009.0	0.00	0.0	---	---	---	---	---	---	0.000	0.061	23.1	56	13.8	23.1	10.28	1.1688	0.00	667	1	97.5	30
13.07.21	10:30	21.8	21.8	21.3	63	14.4	5.2	NE	2.61	12.2	NE	21.8	21.7	21.7	---	1008.5	0.00	0.0	---	---	---	---	---	---	0.000	0.072	23.1	58	14.3	23.2	10.61	1.1675	0.00	682	1	99.7	30
13.07.21	11:00	22.8	22.8	21.7	60	14.6	5.2	NE	2.61	13.0	NE	22.8	22.9	22.9	---	1008.5	0.00	0.0	---	---	---	---	---	---	0.000	0.093	23.1	59	14.7	23.3	10.81	1.1669	0.00	696	1	100.0	30
13.07.21	11:30	23.4	23.6	22.8	58	14.7	3.5	NE	1.74	12.2	ESE	23.4	23.6	23.6	---	1008.4	0.00	0.0	---	---	---	---	---	---	0.000	0.105	23.4	61	15.5	23.7	11.08	1.1644	0.00	696	1	100.0	30
13.07.21	12:00	24.2	24.2	23.3	57	15.2	4.3	ENE	2.17	11.3	ENE	24.2	24.4	24.4	---	1008.5	0.00	0.0	---	---	---	---	---	---	0.000	0.123	23.7	60	15.5	23.9	10.96	1.1634	0.00	699	1	100.0	30
13.07.21	12:30	25.1	25.1	24.2	55	15.4	3.5	ESE	1.74	9.6	NE	25.1	25.2	25.2	---	1008.1	0.00	0.0	---	---	---	---	---	---	0.000	0.141	24.1	62	16.4	24.4	11.24	1.1603	0.00	680	1	99.4	30
13.07.21	13:00	25.1	25.3	24.9	55	15.4	5.2	SE	2.61	13.0	SSE	25.1	25.2	25.2	---	1008.3	0.00	0.0	---	---	---	---	---	---	0.000	0.140	24.4	61	16.4	24.8	11.03	1.1591	0.00	695	1	100.0	30
13.07.21	13:30	25.9	26.0	25.1	53	15.6	5.2	SE	2.61	11.3	SE	25.9	26.1	26.1	---	1008.2	0.00	0.0	---	---	---	---	---	---	0.000	0.157	25.0	61	17.0	25.3	11.01	1.1561	0.00	694	1	100.0	30
13.07.21	14:00	26.3	26.6	25.9	52	15.7	3.5	SE	1.74	10.4	ESE	26.3	26.5	26.5	---	1007.8	0.00	0.0	---	---	---	---	---	---	0.000	0.167	25.2	61	17.2	25.6	11.00	1.1544	0.00	695	1	100.0	30
13.07.21	14:30	26.7	27.0	26.3	53	16.3	4.3	SE	2.17	10.4	ENE	26.7	26.9	26.9	---	1007.8	0.00	0.0	---	---	---	---	---	---	0.000	0.174	25.9	59	17.3	26.3	10.61	1.1518	0.00	698	1	100.0	30
13.07.21	15:00	27.4	27.5	26.4	50	16.0	3.5	ENE	1.74	9.6	ENE	27.4	27.6	27.6	---	1007.5	0.00	0.0	---	---	---	---	---	---	0.000	0.189	26.2	58	17.3	26.7	10.38	1.1501	0.00	700	1	100.0	30
13.07.21	15:30	27.2	27.4	27.2	51	16.2	3.5	ENE	1.74	8.7	ENE	27.2	27.4	27.4	---	1007.2	0.00	0.0	---	---	---	---	---	---	0.000	0.184	26.7	58	17.7	27.2	10.35	1.1474	0.00	697	1	100.0	30
13.07.21	16:00	28.1	28.1	27.2	49	16.4	3.5	ENE	1.74	12.2	ENE	28.1	28.4	28.4	---	1007.3	0.00	0.0	---	---	---	---	---	---	0.000	0.204	28.2	54	18.0	29.0	9.75	1.1414	0.00	688	1	100.0	30
